course,marketName,marketId,startTime,totalMatched
Southwell,1m7f Nov Chs,1.126191499,2016-08-14T14:00:00+01:00,486335.01
Dundalk,5f Mdn,1.126191577,2016-08-14T14:10:00+01:00,404366.71
Pontefract,5f Mdn Stks,1.126191463,2016-08-14T14:15:00+01:00,236033.09
Tramore,2m5f Mdn Hrd,1.126191540,2016-08-14T14:20:00+01:00,109428.72
Southwell,2m4f Hcap Chs,1.126191504,2016-08-14T14:30:00+01:00,372630.05
Dundalk,5f Stks,1.126191582,2016-08-14T14:40:00+01:00,234285.15
Pontefract,1m4f Hcap,1.126191468,2016-08-14T14:45:00+01:00,325597.17
Tramore,2m Mdn Hrd,1.126191545,2016-08-14T14:50:00+01:00,115513.24
Southwell,2m4f App Hcap Chs,1.126191509,2016-08-14T15:00:00+01:00,241056.81
Dundalk,6f Hcap,1.126191587,2016-08-14T15:10:00+01:00,220806.99
Pontefract,2m1f Hcap,1.126191473,2016-08-14T15:15:00+01:00,273123.82
Tramore,2m Hcap Hrd,1.126191550,2016-08-14T15:20:00+01:00,159796.17
Southwell,3m Hcap Hrd,1.126191514,2016-08-14T15:30:00+01:00,468214.39
Dundalk,7f Mdn,1.126191592,2016-08-14T15:40:00+01:00,295216.82
Pontefract,6f Listed,1.126191478,2016-08-14T15:45:00+01:00,368057.01
Tramore,2m Hcap Hrd,1.126191555,2016-08-14T15:55:00+01:00,153766.5
Southwell,3m Hcap Hrd,1.126191519,2016-08-14T16:05:00+01:00,418998.29
Dundalk,1m2f Hcap,1.126191597,2016-08-14T16:15:00+01:00,236084.84
Pontefract,1m Hcap,1.126191483,2016-08-14T16:20:00+01:00,254250.23
Tramore,2m6f Beg Chs,1.126191560,2016-08-14T16:25:00+01:00,324179.62
Southwell,3m Hcap Hrd,1.126191524,2016-08-14T16:35:00+01:00,452858.61
Dundalk,1m App Hcap,1.126191602,2016-08-14T16:45:00+01:00,169535.44
Pontefract,1m Mdn Stks,1.126191488,2016-08-14T16:50:00+01:00,312912.19
Tramore,2m6f Hcap Chs,1.126191565,2016-08-14T16:55:00+01:00,271305.42
Southwell,1m7f Nov Hrd,1.126191529,2016-08-14T17:05:00+01:00,378444.21
Dundalk,1m Mdn,1.126191607,2016-08-14T17:15:00+01:00,514173.53
Pontefract,6f Hcap,1.126191493,2016-08-14T17:20:00+01:00,354650.39
Tramore,2m INHF,1.126191570,2016-08-14T17:25:00+01:00,149905.08
Southwell,1m7f Hcap Hrd,1.126191534,2016-08-14T17:35:00+01:00,617380.93
